Player,Pos,Age,Tm,G,MP,PER
Bradley Beal,SG,24,WAS,82,2977,18.4
Malik Beasley,SG,21,DEN,62,583,9
Michael Beasley,PF,29,NYK,74,1653,17.8
Marco Belinelli,SG,31,TOT,80,1947,14.1
Marco Belinelli,SG,31,ATL,52,1210,14.1
Marco Belinelli,SG,31,PHI,28,737,14.2
Jordan Bell,C,23,GSW,57,809,18
DeAndre' Bembry,SF,23,ATL,26,455,7.6
Dragan Bender,PF,20,PHO,82,2069,7.1
Davis Bertans,PF,25,SAS,77,1086,14.1
Patrick Beverley,SG,29,LAC,11,334,12.3
Khem Birch,C,25,ORL,42,578,16.4
Jabari Bird,SG,23,BOS,13,115,12.1
Bismack Biyombo,C,25,ORL,82,1495,14.1
Nemanja Bjelica,PF,29,MIN,67,1371,12.6
Tarik Black,C,26,HOU,51,536,14.3
Antonio Blakeney,SG,21,CHI,19,314,10.1
Eric Bledsoe,PG,28,TOT,74,2322,19.7
Eric Bledsoe,PG,28,PHO,3,83,13
Eric Bledsoe,PG,28,MIL,71,2239,20
Vander Blue,SG,25,LAL,5,45,-1.8
Bogdan Bogdanovic,SG,25,SAC,78,2175,13.5
Bojan Bogdanovic,SF,28,IND,80,2464,13.9
Andrew Bogut,C,33,LAL,23,216,10.9
Joel Bolomboy,PF,24,MIL,6,38,11.7
Devin Booker,SG,21,PHO,54,1865,18.1
Trevor Booker,PF,30,TOT,68,1158,14.9
Trevor Booker,PF,30,BRK,18,395,15.4
Trevor Booker,PF,30,PHI,33,494,14.5
Trevor Booker,PF,30,IND,17,269,14.7
Chris Boucher,PF,25,GSW,1,1,-28.5
Avery Bradley,SG,27,TOT,46,1433,9.6
Avery Bradley,SG,27,DET,40,1268,9.7
Avery Bradley,SG,27,LAC,6,165,9
Tony Bradley,C,20,UTA,9,29,9.5
Corey Brewer,SF-SG,31,TOT,72,1208,11.2
Corey Brewer,SF,31,LAL,54,694,8.9
Corey Brewer,SG,31,OKC,18,514,14.2
Malcolm Brogdon,PG,25,MIL,48,1436,14.3
Aaron Brooks,PG,33,MIN,32,189,9.8
Dillon Brooks,SF,22,MEM,82,2350,9.8
MarShon Brooks,SG,29,MEM,7,193,26.1
Anthony Brown,SF,25,MIN,1,4,41.9
Bobby Brown,PG,33,HOU,20,115,5.5
Jaylen Brown,SG,21,BOS,70,2152,13.6
Lorenzo Brown,PG,27,TOR,14,139,8.2
Markel Brown,SG,26,HOU,4,31,-1.2
Sterling Brown,SG,22,MIL,54,776,9.1
Nicolas Brussino,SF,24,ATL,4,10,-4.6
Thomas Bryant,C,20,LAL,15,72,9.9
Reggie Bullock,SF,26,DET,62,1732,13.6
Trey Burke,PG,25,NYK,36,785,21
Alec Burks,SG,26,UTA,64,1059,13.1
Jimmy Butler,SG,28,MIN,59,2164,23.7
Dwight Buycks,PG,28,DET,29,427,12.8
Bruno Caboclo,SF,22,TOT,12,107,7.7
Bruno Caboclo,SF,22,TOR,2,7,-0.1
Bruno Caboclo,SF,22,SAC,10,100,8.3
Jose Calderon,PG,36,CLE,57,914,11.3
Kentavious Caldwell-Pope,SG,24,LAL,74,2458,13.2
Isaiah Canaan,PG-SG,26,TOT,20,422,13.5
Isaiah Canaan,SG,26,HOU,1,4,-7.3
Isaiah Canaan,PG,26,PHO,19,418,13.7
Clint Capela,C,23,HOU,74,2034,24.5
DeMarre Carroll,SF,31,BRK,73,2180,14.3
Vince Carter,SF,41,SAC,58,1026,10.8
Michael Carter-Williams,PG,26,CHO,52,835,10.8
Alex Caruso,PG,23,LAL,37,562,8.7
Omri Casspi,SF,29,GSW,53,740,15.5
Willie Cauley-Stein,C,24,SAC,73,2044,17.6
Tyler Cavanaugh,PF,23,ATL,39,518,13
Mario Chalmers,PG,31,MEM,66,1421,10.4
Tyson Chandler,C,35,PHO,46,1151,14.2
Wilson Chandler,SF,30,DEN,74,2346,11
Marquese Chriss,PF,20,PHO,72,1527,11.1
Ian Clark,SG,26,NOP,74,1455,9.4
Jordan Clarkson,SG,25,TOT,81,1888,16.4
Jordan Clarkson,SG,25,LAL,53,1256,16.9
Jordan Clarkson,SG,25,CLE,28,632,15.4
Gian Clavell,SG,24,DAL,7,64,7.4
Antonius Cleveland,SG,23,TOT,17,123,4.5
Antonius Cleveland,SG,23,DAL,13,81,5.1
Antonius Cleveland,SG,23,ATL,4,42,3.5
John Collins,PF,20,ATL,74,1785,18.3
Zach Collins,C,20,POR,66,1045,7.5
Kyle Collinsworth,SF,26,DAL,32,480,10
Darren Collison,PG,30,IND,69,2018,18.8
Nick Collison,PF,37,OKC,15,75,13.2
Mike Conley,PG,30,MEM,12,373,15.4
Pat Connaughton,SG,25,POR,82,1488,9.3
Quinn Cook,PG,24,GSW,33,740,12.8
Charles Cooke,SG,23,NOP,13,38,-5.1
Jack Cooley,PF,26,SAC,7,87,19.7
Matt Costello,C,24,SAS,4,32,9.7
DeMarcus Cousins,C,27,NOP,48,1737,22.6
Robert Covington,SF,27,PHI,80,2532,12.9
Allen Crabbe,SG,25,BRK,75,2197,12.3
Torrey Craig,SF,27,DEN,39,629,9.8
Jamal Crawford,SG,37,MIN,80,1653,13
Jordan Crawford,SG,29,NOP,5,53,19.1
Jae Crowder,SF,27,TOT,80,2090,10.4
Jae Crowder,SF,27,CLE,53,1346,10.2
Jae Crowder,SF,27,UTA,27,744,10.8
Dante Cunningham,SF,30,TOT,73,1562,10
Dante Cunningham,SF,30,NOP,51,1115,8.4
Dante Cunningham,SF,30,BRK,22,447,13.8
Stephen Curry,PG,29,GSW,51,1631,28.2
Troy Daniels,SG,26,PHO,79,1622,9.8
Anthony Davis,PF,24,NOP,75,2727,28.9
Deyonta Davis,C,21,MEM,62,943,16.6
Ed Davis,C,28,POR,78,1471,15.5
Dewayne Dedmon,C,28,ATL,62,1542,15.8
Sam Dekker,PF,23,LAC,73,883,11.5
Malcolm Delaney,PG,28,ATL,54,1014,10.6
Matthew Dellavedova,PG,27,MIL,38,712,8.6
Luol Deng,SF,32,LAL,1,13,5.5
DeMar DeRozan,SG,28,TOR,80,2711,21
Cheick Diallo,PF,21,NOP,52,581,17
Gorgui Dieng,C,28,MIN,79,1333,14.7
Spencer Dinwiddie,PG,24,BRK,80,2306,15.9
Tyler Dorsey,SG,21,ATL,56,974,10
Damyean Dotson,SG,23,NYK,44,474,11.6
Milton Doyle,SG,24,BRK,10,125,5.2
PJ Dozier,PG,21,OKC,2,3,-5
Goran Dragic,PG,31,MIA,75,2378,16.6
Larry Drew,PG,27,TOT,10,70,2.9
Larry Drew,PG,27,PHI,3,15,-9.4
Larry Drew,PG,27,NOP,7,55,6.3
Andre Drummond,C,24,DET,78,2625,22.9
Jared Dudley,PF,32,PHO,48,686,8.8
Kris Dunn,PG,23,CHI,52,1525,14.5
Kevin Durant,PF,29,GSW,68,2325,26
Jarell Eddie,SF,26,TOT,3,9,-1.9
Jarell Eddie,SF,26,BOS,2,6,4
Jarell Eddie,SF,26,CHI,1,3,-13.5
Henry Ellenson,PF,21,DET,38,329,10.5
Wayne Ellington,SG,30,MIA,77,2041,12.5
Joel Embiid,C,23,PHI,63,1912,22.9
James Ennis,SF,27,TOT,72,1604,11.6
James Ennis,SF,27,MEM,45,1053,11.9
James Ennis,SF,27,DET,27,551,11.2
Tyler Ennis,PG,23,LAL,54,683,11.1
Jawun Evans,PG,21,LAC,48,778,7.2
Jeremy Evans,SF,30,ATL,1,5,10.4
Tyreke Evans,PG,28,MEM,52,1607,21.1
Dante Exum,PG,22,UTA,14,235,16.7
Kenneth Faried,PF,28,DEN,32,461,17.4
Derrick Favors,C,26,UTA,77,2153,18.8
Kay Felder,PG,22,TOT,16,140,3.6
Kay Felder,PG,22,CHI,14,134,3.6
Kay Felder,PG,22,DET,2,6,2
Cristiano Felicio,C,25,CHI,55,977,12.5
Raymond Felton,PG,33,OKC,82,1365,13
Terrance Ferguson,SG,19,OKC,61,763,7.4
Yogi Ferrell,SG,24,DAL,82,2282,11.4
Dorian Finney-Smith,PF,24,DAL,21,448,7.6
Bryn Forbes,SG,24,SAS,80,1517,9.1
Evan Fournier,SF,25,ORL,57,1837,15.5
De'Aaron Fox,PG,20,SAC,73,2026,11.2
Tim Frazier,PG,27,WAS,59,838,11.3
Channing Frye,C,34,TOT,53,695,13.1
Channing Frye,C,34,CLE,44,545,13.9
Channing Frye,C,34,LAL,9,150,10.2
Markelle Fultz,SG,19,PHI,14,253,12.4
Danilo Gallinari,SF,29,LAC,21,671,13.8
Langston Galloway,SG,26,DET,58,863,12.2
Marc Gasol,C,33,MEM,73,2408,17.4
Pau Gasol,C,37,SAS,77,1812,18.9
Rudy Gay,PF,31,SAS,57,1231,18
Paul George,SF,27,OKC,79,2891,18.7
Marcus Georges-Hunt,SG,23,MIN,42,224,6.9
Jonathan Gibson,PG,30,BOS,4,40,25.4
Taj Gibson,PF,32,MIN,82,2726,15.4
Manu Ginobili,SG,40,SAS,65,1299,12.9
Rudy Gobert,C,25,UTA,56,1816,20.7
Aaron Gordon,PF,22,ORL,58,1909,16.5
Eric Gordon,SG,29,HOU,69,2154,15.2
Marcin Gortat,C,33,WAS,82,2075,14.7
Treveon Graham,SG,24,CHO,63,1050,9
Jerami Grant,PF,23,OKC,81,1647,16.2
Jerian Grant,PG,25,CHI,74,1686,14.3
Josh Gray,PG,24,PHO,5,86,7.2
Danny Green,SG,30,SAS,70,1791,11.4
Draymond Green,PF,27,GSW,70,2287,16.1
Gerald Green,SG,32,HOU,41,929,14.1
JaMychal Green,PF,27,MEM,55,1542,14
Jeff Green,PF,31,CLE,78,1828,14.8
Blake Griffin,PF,28,TOT,58,1970,19.6
Blake Griffin,PF,28,LAC,33,1139,20.4
Blake Griffin,PF,28,DET,25,831,18.5
Daniel Hamilton,SG,22,OKC,6,28,18.2
Tim Hardaway,SG,25,NYK,57,1885,14.4
James Harden,SG,28,HOU,72,2551,29.8
Maurice Harkless,SF,24,POR,59,1264,12.6
Montrezl Harrell,C,24,LAC,76,1293,24.7
Devin Harris,PG,34,TOT,71,1340,13
Devin Harris,PG,34,DAL,44,807,13.5
Devin Harris,PG,34,DEN,27,533,12.4
Gary Harris,SG,23,DEN,67,2304,16.5
Joe Harris,SG,26,BRK,78,1975,13.3
Tobias Harris,PF,25,TOT,80,2668,17.1
Tobias Harris,PF,25,DET,48,1563,16.7
Tobias Harris,PF,25,LAC,32,1105,17.7
Aaron Harrison,SG,23,DAL,9,233,5.1
Andrew Harrison,PG,23,MEM,56,1326,12.7
Shaquille Harrison,PG,24,PHO,23,384,15.6
Josh Hart,SG,22,LAL,63,1461,12.2
Udonis Haslem,C,37,MIA,14,72,1.8
Nigel Hayes,SF,23,TOT,9,122,6.4
Nigel Hayes,SF,23,LAL,2,11,9.8
Nigel Hayes,SF,23,TOR,2,6,34.9
Nigel Hayes,SF,23,SAC,5,105,4.4
Gordon Hayward,SF,27,BOS,1,5,7.3
Reggie Hearn,SG,26,DET,3,7,13.1
Myke Henry,SF,25,MEM,20,378,9.7
John Henson,C,27,MIL,76,1970,15.7
Juan Hernangomez,PF,22,DEN,25,277,9.7
Willy Hernangomez,C,23,TOT,48,495,21.2
Willy Hernangomez,C,23,NYK,26,233,16.9
Willy Hernangomez,C,23,CHO,22,262,25
Mario Hezonja,SF,22,ORL,75,1657,13.7
Isaiah Hicks,PF,23,NYK,18,240,6.8
Buddy Hield,SG,24,SAC,80,2024,16.1
Nene Hilario,C,35,HOU,52,758,16.4
George Hill,PG,31,TOT,67,1812,13.3
George Hill,PG,31,SAC,43,1143,14
George Hill,PG,31,CLE,24,669,12.2
Solomon Hill,SF,26,NOP,12,187,4.8
Darrun Hilliard,SG,24,SAS,14,95,3.4
Jrue Holiday,SG,27,NOP,81,2927,17.8
Justin Holiday,SG,28,CHI,72,2265,10.8
John Holland,SF,29,CLE,24,174,5.9
Rondae Hollis-Jefferson,SF,23,BRK,68,1920,16.9
Richaun Holmes,C,24,PHI,48,746,17.4
Rodney Hood,SG,25,TOT,60,1616,14.3
Rodney Hood,SG,25,UTA,39,1084,15.1
Rodney Hood,SG,25,CLE,21,532,12.7
Scotty Hopson,SG,28,DAL,1,8,-4.6
Al Horford,C,31,BOS,72,2277,17.6
Danuel House,SG,24,PHO,23,403,12.4
Dwight Howard,C,32,CHO,81,2463,20.5
Josh Huestis,PF,26,OKC,69,982,5.4
R.J. Hunter,SG,24,HOU,5,45,8.5
Vince Hunter,PF,23,MEM,4,7,35.8
Serge Ibaka,PF,28,TOR,76,2093,14.7
Andre Iguodala,SF,34,GSW,64,1622,11.2
Ersan Ilyasova,PF,30,TOT,69,1729,14.9
Ersan Ilyasova,PF,30,ATL,46,1175,15.1
Ersan Ilyasova,PF,30,PHI,23,554,14.6
Joe Ingles,SF,30,UTA,82,2578,14.4
Andre Ingram,SG,32,LAL,2,64,16.3
Brandon Ingram,SF,20,LAL,59,1975,13.8
Kyrie Irving,PG,25,BOS,60,1931,25
Jonathan Isaac,PF,20,ORL,27,536,9.8
Wesley Iwundu,SF,23,ORL,62,1020,7.8
Jarrett Jack,PG,34,NYK,62,1548,11.5
Aaron Jackson,PG,31,HOU,1,35,2.4
Demetrius Jackson,PG,23,TOT,15,80,5.4
Demetrius Jackson,PG,23,HOU,12,63,0.2
Demetrius Jackson,PG,23,PHI,3,17,24.5
Josh Jackson,SF,20,PHO,77,1959,11.8
Justin Jackson,SF,22,SAC,68,1506,9.2
Reggie Jackson,PG,27,DET,45,1201,15.9
LeBron James,PF,33,CLE,82,3026,28.6
Mike James,PG,27,TOT,36,687,13.9
Mike James,PG,27,PHO,32,669,14.2
Mike James,PG,27,NOP,4,18,3.5
Al Jefferson,C,33,IND,36,484,20.2
Richard Jefferson,SF,37,DEN,20,163,6.4
Brandon Jennings,PG,28,MIL,14,205,12.7
Jonas Jerebko,PF,30,UTA,74,1134,13.2
Amir Johnson,C,30,PHI,74,1171,14.8
Brice Johnson,PF,23,TOT,18,98,18.2
Brice Johnson,PF,23,LAC,9,38,21.3
Brice Johnson,PF,23,MEM,9,60,16.2
Dakari Johnson,C,22,OKC,31,161,16.4
James Johnson,PF,30,MIA,73,1943,15.8
Joe Johnson,SF,36,TOT,55,1205,8.1
Joe Johnson,SF,36,UTA,32,700,9
Joe Johnson,SF,36,HOU,23,505,6.8
Omari Johnson,PF,28,MEM,4,75,10.5
Stanley Johnson,SF,21,DET,69,1894,9
Tyler Johnson,PG,25,MIA,72,2052,13
Wesley Johnson,SF,30,LAC,74,1486,9.8
Nikola Jokic,C,22,DEN,75,2443,24.4
Damian Jones,C,22,GSW,15,89,6.8
Derrick Jones,SF,20,TOT,20,245,10.1
Derrick Jones,SF,20,PHO,6,33,18.4
Derrick Jones,SF,20,MIA,14,212,8.8
Jalen Jones,SF,24,TOT,16,181,10.3
Jalen Jones,SF,24,NOP,4,19,5
Jalen Jones,SF,24,DAL,12,162,10.9
Tyus Jones,PG,21,MIN,82,1467,14.1
DeAndre Jordan,C,29,LAC,77,2424,20.2
Cory Joseph,PG,26,IND,82,2210,11
Frank Kaminsky,PF,24,CHO,79,1835,14.4
Enes Kanter,C,25,NYK,71,1830,24
Luke Kennard,SG,21,DET,73,1463,12.1
Michael Kidd-Gilchrist,SF,24,CHO,74,1850,12.5
Sean Kilpatrick,SG,28,TOT,52,640,11.6
Sean Kilpatrick,SG,28,BRK,16,183,4.9
Sean Kilpatrick,SG,28,MIL,23,205,11.3
Sean Kilpatrick,SG,28,LAC,4,38,10.5
Sean Kilpatrick,SG,28,CHI,9,214,17.7
Maxi Kleber,PF,26,DAL,72,1206,13.4
Furkan Korkmaz,SG,20,PHI,14,80,3.4
Luke Kornet,PF,22,NYK,20,326,13.6
Kyle Korver,SG,36,CLE,73,1574,13.4
Kosta Koufos,C,28,SAC,71,1391,17.5
Kyle Kuzma,PF,22,LAL,77,2401,14.2
Mindaugas Kuzminskas,SF,28,NYK,1,2,-41.1
Skal Labissiere,PF,21,SAC,60,1240,14.3
Jeremy Lamb,SG,25,CHO,80,1967,17
Shane Larkin,PG,25,BOS,54,775,10.4
Joffrey Lauvergne,C,26,SAS,55,534,16.5
Zach LaVine,SG,22,CHI,24,656,14.6
Jake Layman,SF,23,POR,35,160,4.9
T.J. Leaf,PF,20,IND,53,459,10.7
Courtney Lee,SG,32,NYK,76,2310,13
Damion Lee,SG,25,ATL,15,404,12
"Walt Lemon, Jr.",PG,25,NOP,5,35,6.9
Alex Len,C,24,PHO,69,1395,19.4
Kawhi Leonard,SF,26,SAS,9,210,26
Meyers Leonard,C,25,POR,33,254,17.8
Jon Leuer,PF,28,DET,8,136,8.9
Caris LeVert,SF,23,BRK,71,1864,14.3
DeAndre Liggins,SG,29,TOT,58,724,6
DeAndre Liggins,SG,29,MIL,31,480,5
DeAndre Liggins,SG,29,NOP,27,244,7.8
Damian Lillard,PG,27,POR,73,2670,25.2
Jeremy Lin,PG,29,BRK,1,25,15.9
Shaun Livingston,PG,32,GSW,71,1129,11.6
Kevon Looney,C,21,GSW,66,910,14.8
Brook Lopez,C,29,LAL,74,1735,16.4
Robin Lopez,C,29,CHI,64,1690,14.7
Kevin Love,C,29,CLE,59,1651,22.4
Kyle Lowry,PG,31,TOR,78,2510,19.5
Timothe Luwawu-Cabarrot,SF,22,PHI,52,807,7
Tyler Lydon,PF,21,DEN,1,2,0
Trey Lyles,PF,22,DEN,73,1391,17.9
Shelvin Mack,PG,27,ORL,69,1365,13.3
Josh Magette,PG,28,ATL,18,216,11.9
Ian Mahinmi,C,31,WAS,77,1145,12.2
Thon Maker,C,20,MIL,74,1238,10.2
Boban Marjanovic,C,29,TOT,39,337,26
Boban Marjanovic,C,29,DET,19,171,21.6
Boban Marjanovic,C,29,LAC,20,166,30.6
Lauri Markkanen,PF,20,CHI,68,2020,15.6
Jarell Martin,PF,23,MEM,73,1661,10.5
Frank Mason,PG,23,SAC,52,984,13
Mangok Mathiang,C,25,CHO,4,20,18
Wesley Matthews,SF,31,DAL,63,2131,11.4
Luc Mbah a Moute,PF,31,HOU,61,1564,10.2
James Michael McAdoo,PF,25,PHI,3,18,7.4
Patrick McCaw,SG,22,GSW,57,961,7.4
CJ McCollum,SG,26,POR,81,2923,17
T.J. McConnell,PG,25,PHI,76,1706,12.5
Erik McCree,SF,24,UTA,4,8,-8.9
Chris McCullough,PF,22,WAS,19,90,15.8
Doug McDermott,SF,26,TOT,81,1768,10.4
Doug McDermott,SF,26,NYK,55,1172,9.9
Doug McDermott,SF,26,DAL,26,596,11.5
JaVale McGee,C,30,GSW,65,615,22.3
Rodney McGruder,SG,26,MIA,18,299,12
Trey McKinney-Jones,SG,27,IND,1,1,0
Alfonzo McKinnie,SF,25,TOR,14,53,10.1
Ben McLemore,SG,24,MEM,56,1091,9.7
Josh McRoberts,PF,30,DAL,2,6,-12.5
Jodie Meeks,SG,30,WAS,77,1119,12.4
Salah Mejri,C,31,DAL,61,729,17.8
Jordan Mickey,PF,23,MIA,23,284,10.6
Khris Middleton,SF,26,MIL,82,2982,17.4
C.J. Miles,SF,30,TOR,70,1337,13
Darius Miller,SF,27,NOP,82,1944,9.3
Malcolm Miller,SF,24,TOR,15,126,8.9
Patty Mills,PG,29,SAS,82,2107,11.8
Paul Millsap,PF,32,DEN,38,1143,17
Nikola Mirotic,PF,26,TOT,55,1494,18.7
Nikola Mirotic,PF,26,CHI,25,622,22
Nikola Mirotic,PF,26,NOP,30,872,16.3
Donovan Mitchell,SG,21,UTA,79,2638,16.7
Naz Mitrou-Long,SG,24,UTA,1,1,133.8
Malik Monk,SG,19,CHO,63,854,10.3
Greg Monroe,C,27,TOT,51,1040,21.2
Greg Monroe,C,27,MIL,5,79,11.1
Greg Monroe,C,27,PHO,20,465,21
Greg Monroe,C,27,BOS,26,496,23
Luis Montero,SG,24,DET,2,8,-15.5
Ben Moore,PF,22,IND,2,9,-2.3
E'Twaun Moore,SG,28,NOP,82,2586,12.1
Eric Moreland,PF,26,DET,67,805,13.9
Jaylen Morris,SG,22,ATL,6,98,6.5
Marcus Morris,PF,28,BOS,54,1447,14.5
Markieff Morris,PF,28,WAS,73,1968,13.2
Monte Morris,PG,22,DEN,3,25,27.1
Johnathan Motley,PF,22,DAL,11,176,17.2
Timofey Mozgov,C,31,BRK,31,359,12.3
Emmanuel Mudiay,PG,21,TOT,64,1245,11.5
Emmanuel Mudiay,PG,21,DEN,42,752,12.3
Emmanuel Mudiay,PG,21,NYK,22,493,10.2
Shabazz Muhammad,SF-SG,25,TOT,43,418,15.4
Shabazz Muhammad,SF,25,MIN,32,301,9.3
Shabazz Muhammad,SG,25,MIL,11,117,31
Xavier Munford,SG,25,MIL,6,21,-2.1
Dejounte Murray,PG,21,SAS,81,1743,15.1
Jamal Murray,PG,20,DEN,81,2565,16.1
Mike Muscala,C,26,ATL,53,1060,14.4
Abdel Nader,SF,24,BOS,48,522,5.1
Larry Nance,C,25,TOT,66,1421,20.2
Larry Nance,C,25,LAL,42,922,19.4
Larry Nance,C,25,CLE,24,499,21.5
Shabazz Napier,PG,26,POR,74,1535,14.2
Jameer Nelson,PG,35,TOT,50,1013,8.1
Jameer Nelson,PG,35,NOP,43,897,8.9
Jameer Nelson,PG,35,DET,7,116,2.6
Raul Neto,PG,25,UTA,41,498,11.9
Georges Niang,PF,24,UTA,9,32,9.2
Joakim Noah,C,32,NYK,7,40,15.6
Nerlens Noel,C,23,DAL,30,472,16.2
Lucas Nogueira,C,25,TOR,49,418,17.3
Dirk Nowitzki,C,39,DAL,77,1900,16.7
Frank Ntilikina,PG,19,NYK,78,1706,7
Jusuf Nurkic,C,23,POR,79,2088,19.2
David Nwaba,SG,25,CHI,70,1646,12.2
Johnny O'Bryant,PF,24,CHO,36,379,11.9
Royce O'Neale,SF,24,UTA,69,1150,10.8
Kyle O'Quinn,C,27,NYK,77,1387,20
Semi Ojeleye,PF,23,BOS,73,1150,4.6
Emeka Okafor,C,35,NOP,26,353,16.4
Jahlil Okafor,C,22,TOT,28,353,15.3
Jahlil Okafor,C,22,PHI,2,25,8.8
Jahlil Okafor,C,22,BRK,26,328,15.8
Victor Oladipo,SG,25,IND,75,2552,23.1
Kelly Olynyk,PF,26,MIA,76,1779,17.8
Chinanu Onuaku,C,21,HOU,1,22,-3.2
Cedi Osman,SF,22,CLE,61,672,11
Kelly Oubre,SF,22,WAS,81,2231,11.9
Zaza Pachulia,C,33,GSW,69,972,17
Marcus Paige,PG,24,CHO,5,28,9.1
Georgios Papagiannis,C,20,TOT,17,122,12.2
Georgios Papagiannis,C,20,SAC,16,118,10.7
Georgios Papagiannis,C,20,POR,1,4,58.1
Jabari Parker,PF,22,MIL,31,743,17.1
Tony Parker,PG,35,SAS,55,1071,12.7
Chandler Parsons,SF,29,MEM,36,691,13.6
Patrick Patterson,PF,28,OKC,82,1270,10
Justin Patton,C,20,MIN,1,4,19.8
Brandon Paul,SG,26,SAS,64,576,7.5
Chris Paul,PG,32,HOU,58,1847,24.4
Adreian Payne,PF,26,ORL,5,43,18.8
Cameron Payne,PG,23,CHI,25,582,14
Elfrid Payton,PG,23,TOT,63,1808,16.5
Elfrid Payton,PG,23,ORL,44,1257,18.1
Elfrid Payton,PG,23,PHO,19,551,13.1
Gary Payton,PG,25,TOT,23,221,9.8
Gary Payton,PG,25,MIL,12,106,7.6
Gary Payton,PG,25,LAL,11,115,11.8
Kendrick Perkins,C,33,CLE,1,15,8.4
London Perrantes,PG,23,CLE,14,66,0.7
Alec Peters,PF,22,PHO,20,225,10.7
Marshall Plumlee,C,25,MIL,8,52,10.9
Mason Plumlee,C,27,DEN,74,1439,16.9
Miles Plumlee,C,29,ATL,55,918,10.6
Jakob Poeltl,C,22,TOR,82,1524,17.5
Quincy Pondexter,SF,29,CHI,23,196,4
Otto Porter,SF,24,WAS,77,2432,18.3
Bobby Portis,PF,22,CHI,73,1643,19.7
Kristaps Porzingis,PF,22,NYK,48,1553,20.4
Dwight Powell,C,26,DAL,79,1672,18.8
Norman Powell,SG,24,TOR,70,1062,8.5
Alex Poythress,PF,24,IND,25,104,7.8
Jacob Pullen,PG,28,PHI,3,6,-2.3
Rodney Purvis,SG,23,ORL,16,290,4.5
Zhou Qi,C,22,HOU,18,124,1.9
Tim Quarterman,SG,23,HOU,3,13,2.9
Ivan Rabb,PF,20,MEM,36,516,16.6
Julius Randle,C,23,LAL,82,2190,19.9
Zach Randolph,PF,36,SAC,59,1508,17.3
Xavier Rathan-Mayes,SG,23,MEM,5,118,0.9
J.J. Redick,SG,33,PHI,70,2116,15.9
Davon Reed,SG,22,PHO,21,242,4.8
Willie Reed,C,27,TOT,42,428,19.2
Willie Reed,C,27,LAC,39,419,19.4
Willie Reed,C,27,DET,3,9,8.8
Josh Richardson,SF,24,MIA,81,2689,13.6
Malachi Richardson,SG,22,TOT,26,324,5.9
Malachi Richardson,SG,22,SAC,25,319,5.8
Malachi Richardson,SG,22,TOR,1,5,10.5
Austin Rivers,SG,25,LAC,61,2057,12.6
Andre Roberson,SG,26,OKC,39,1037,10.9
Devin Robinson,SF,22,WAS,1,13,10.5
Glenn Robinson,SF,24,IND,23,338,10.8
Rajon Rondo,PG,31,NOP,65,1705,15.3
Derrick Rose,PG,29,TOT,25,420,11.5
Derrick Rose,PG,29,CLE,16,308,11.6
Derrick Rose,PG,29,MIN,9,112,11.2
Terrence Ross,SG,26,ORL,24,600,9.9
Terry Rozier,PG,23,BOS,80,2068,15.1
Ricky Rubio,PG,27,UTA,77,2254,15.4
D'Angelo Russell,PG,21,BRK,48,1234,15.2
Domantas Sabonis,C,21,IND,74,1810,17.5
JaKarr Sampson,SF,24,SAC,22,344,13.9
Dario Saric,PF,23,PHI,78,2310,15.8
Tomas Satoransky,SG,26,WAS,73,1643,15.4
