Player,Pos,Age,Tm,G,MP,PER
Malachi Richardson,SG,23,TOR,12,68,-2
Austin Rivers,SG,26,WAS,21,468,7.1
Devin Robinson,SF,23,WAS,1,4,34.7
Duncan Robinson,PF,24,MIA,4,29,6.6
Glenn Robinson,SF,25,DET,17,278,10.4
Jerome Robinson,SG,21,LAC,8,40,13.1
Mitchell Robinson,C,20,NYK,21,364,17.3
Rajon Rondo,PG,32,LAL,11,278,13.9
Derrick Rose,PG,30,MIN,20,590,20.6
Terrence Ross,SG,27,ORL,22,549,14.8
Terry Rozier,PG,24,BOS,21,470,10.4
Ricky Rubio,PG,28,UTA,22,648,12.3
D'Angelo Russell,PG,22,BRK,22,624,17.7
Domantas Sabonis,C,22,IND,21,521,26.4
Dario Saric,PF,24,TOT,21,576,10.3
Dario Saric,PF,24,PHI,13,396,8.3
Dario Saric,PF,24,MIN,8,180,14.7
Tomas Satoransky,SG,27,WAS,21,304,14.7
Dennis Schroder,PG,25,OKC,20,596,15
Mike Scott,PF,30,LAC,21,320,11.4
Thabo Sefolosha,SF,34,UTA,8,77,6.2
Wayne Selden,SG,24,MEM,20,324,8.5
Collin Sexton,PG,20,CLE,20,574,12.5
Landry Shamet,SG,21,PHI,23,488,10.2
Iman Shumpert,SG,28,SAC,18,456,12.5
Pascal Siakam,PF,24,TOR,23,684,20.3
Ben Simmons,PG,22,PHI,22,729,19.5
Jonathon Simmons,SG,29,ORL,20,433,7.7
Anfernee Simons,SG,19,POR,5,34,-2.3
Marcus Smart,SG,24,BOS,21,504,11.2
Dennis Smith,PG,21,DAL,17,478,12.3
Ish Smith,PG,30,DET,18,455,10.2
J.R. Smith,SG,33,CLE,11,222,8.1
Jason Smith,C,32,WAS,10,111,12.8
Tony Snell,SG,27,MIL,21,332,11.4
Ray Spalding,PF,21,DAL,1,1,0
Omari Spellman,PF,21,ATL,20,377,13.5
Nik Stauskas,SG,25,POR,21,360,12.9
Lance Stephenson,SG,28,LAL,21,329,14.7
Edmond Sumner,PG,23,IND,6,24,0.3
Caleb Swanigan,PF,21,POR,10,99,5.2
Jayson Tatum,SF,20,BOS,21,670,16
Jeff Teague,PG,30,MIN,16,498,15.4
Garrett Temple,SG,32,MEM,20,649,10.1
Milos Teodosic,PG,31,LAC,10,95,11.7
Jared Terrell,SG,23,MIN,1,21,-3.4
Daniel Theis,C,26,BOS,11,123,13.9
Khyri Thomas,SG,22,DET,2,11,-1.1
Lance Thomas,PF,30,NYK,11,167,7
Klay Thompson,SG,28,GSW,23,798,15.2
Tristan Thompson,C,27,CLE,20,598,18.2
Sindarius Thornwell,SG,24,LAC,8,64,2.4
Anthony Tolliver,PF,33,MIN,16,274,9.8
Karl-Anthony Towns,C,23,MIN,22,736,21
Gary Trent,SG,20,POR,2,13,15.9
Allonzo Trier,SG,23,NYK,23,550,14.8
P.J. Tucker,PF,33,HOU,20,722,9.2
Evan Turner,PG,30,POR,21,548,11.7
Myles Turner,C,22,IND,21,566,14.9
Ekpe Udoh,C,31,UTA,15,73,11.3
Tyler Ulis,PG,23,CHI,1,1,0
Jonas Valanciunas,C,26,TOR,23,444,24.8
Fred VanVleet,PG,24,TOR,19,451,13.2
Noah Vonleh,PF,23,NYK,23,566,15.9
Nikola Vucevic,C,28,ORL,22,677,27.1
Dwyane Wade,SG,37,MIA,13,330,15.7
Moritz Wagner,C,21,LAL,2,6,-5.6
Kemba Walker,PG,28,CHO,21,735,24.2
John Wall,PG,28,WAS,21,730,19.4
Tyrone Wallace,PG,24,LAC,13,83,7.6
Taurean Waller-Prince,SF,24,ATL,19,541,11.8
Brad Wanamaker,PG,29,BOS,5,31,12.7
T.J. Warren,SF,25,PHO,20,598,18.4
Yuta Watanabe,SG,24,MEM,2,12,7.2
Thomas Welsh,C,22,DEN,4,12,16.8
Russell Westbrook,PG,30,OKC,12,401,23.9
Derrick White,PG,24,SAS,12,218,7.6
Okaro White,PF,26,WAS,1,3,3.9
Hassan Whiteside,C,29,MIA,19,512,21.1
Andrew Wiggins,SF,23,MIN,18,588,10.2
C.J. Williams,SG,28,MIN,6,53,-1.7
Johnathan Williams,C,23,LAL,6,85,11.3
Kenrich Williams,SF,24,NOP,6,29,-1.6
Lou Williams,SG,32,LAC,21,540,17.6
Marvin Williams,PF,32,CHO,21,528,11.4
Robert Williams,C,21,BOS,7,25,28.8
Troy Williams,SF,24,SAC,11,172,11.9
Justise Winslow,PF,22,MIA,16,439,9
Christian Wood,PF,23,MIL,5,29,21.1
Delon Wright,PG,26,TOR,18,290,13.5
Guerschon Yabusele,PF,23,BOS,11,42,14.3
Thaddeus Young,PF,30,IND,22,618,12.6
Trae Young,PG,20,ATL,22,644,12.9
Cody Zeller,C,26,CHO,21,510,17.1
Ante Zizic,C,22,CLE,16,136,12
Ivica Zubac,C,21,LAL,6,47,11.4
